WKT,nama,deskripsi
"POLYGON ((106.8232407 -6.1716378, 106.8229833 -6.179659, 106.8234553 -6.1802563, 106.8311372 -6.1800857, 106.8304076 -6.1789764, 106.8306651 -6.178635, 106.8299785 -6.1779097, 106.8301072 -6.1749231, 106.8298497 -6.1734297, 106.8290772 -6.1731737, 106.8293347 -6.1718938, 106.8291201 -6.1715951, 106.8232407 -6.1716378))",Taman Monas,
"POLYGON ((106.7982808 -6.214724, 106.7985383 -6.2207395, 106.8033019 -6.2227019, 106.8049327 -6.2246217, 106.8089667 -6.2222753, 106.8085805 -6.2214647, 106.8084517 -6.2157906, 106.8071214 -6.2156626, 106.8061343 -6.2155773, 106.8064776 -6.2136147, 106.8061343 -6.2128468, 106.7982808 -6.214724))",Gelora Bung Karno,
"POLYGON ((106.8207599 -6.3065969, 106.8206312 -6.3057011, 106.8195154 -6.3060423, 106.8187858 -6.3054878, 106.8174555 -6.3053172, 106.816168 -6.3049333, 106.8160822 -6.3054878, 106.8170263 -6.3069808, 106.8165972 -6.3079192, 106.8158247 -6.3080045, 106.8157388 -6.3107344, 106.8175842 -6.3103932, 106.81767 -6.314744, 106.8163826 -6.3151279, 106.8162538 -6.3168341, 106.8179275 -6.3172607, 106.8229486 -6.3174313, 106.8236353 -6.3178152, 106.8247511 -6.3180284, 106.8259098 -6.3113316, 106.8267252 -6.3115022, 106.8268968 -6.3086017, 106.8245794 -6.3083031, 106.8246223 -6.3063836, 106.8226911 -6.3066822, 106.8207599 -6.3065969))",Kebun Raya Ragunan,
"POLYGON ((106.8894271 -6.3015048, 106.8893252 -6.3016114, 106.889352 -6.3027898, 106.8904678 -6.3027685, 106.8905644 -6.3024379, 106.890441 -6.3023046, 106.8903123 -6.3018194, 106.8905054 -6.3016701, 106.8904303 -6.3014941, 106.8903337 -6.3014941, 106.8894271 -6.3015048))",Taman Mini Indonesia Indah,
"POLYGON ((106.8510721 -6.2329121, 106.8506859 -6.2330828, 106.8505786 -6.2343626, 106.8521236 -6.2352372, 106.8526171 -6.236261, 106.8517373 -6.2399086, 106.8527673 -6.2419776, 106.8537114 -6.2417857, 106.8530677 -6.2403778, 106.8530891 -6.2393753, 106.853647 -6.2370076, 106.8533896 -6.2345972, 106.8529175 -6.2348745, 106.8525098 -6.233424, 106.8515657 -6.2335947, 106.8514369 -6.2331894, 106.8510721 -6.2329121))",Tebet Echo Park. ,
